schoolnr,from,to,connected,from_id,to_id,dyad_id,sex_from,sex_to,sex_similarity
10a,1,12,1,10a_12,10a_1,10a_1_12,1,1,1
10a,2,4,1,10a_4,10a_2,10a_2_4,0,0,1
10a,3,5,1,10a_5,10a_3,10a_3_5,1,1,1
10a,4,2,1,10a_2,10a_4,10a_2_4,0,0,1
10a,5,3,1,10a_3,10a_5,10a_3_5,1,1,1
10a,6,11,1,10a_11,10a_6,10a_6_11,0,0,1
10a,7,8,1,10a_8,10a_7,10a_7_8,1,1,1
10a,8,7,1,10a_7,10a_8,10a_7_8,1,1,1
10a,9,7,1,10a_7,10a_9,10a_7_9,1,1,1
10a,10,2,1,10a_2,10a_10,10a_2_10,0,0,1
10a,11,6,1,10a_6,10a_11,10a_6_11,0,0,1
10a,14,7,1,10a_7,10a_14,10a_7_14,1,1,1
10a,15,16,1,10a_16,10a_15,10a_15_16,1,1,1
10a,16,1,1,10a_1,10a_16,10a_1_16,1,1,1
10a,17,2,1,10a_2,10a_17,10a_2_17,0,0,1
10a,18,17,1,10a_17,10a_18,10a_17_18,0,0,1
10a,19,20,1,10a_20,10a_19,10a_19_20,0,0,1
10a,20,6,1,10a_6,10a_20,10a_6_20,0,0,1
10a,1,13,1,10a_13,10a_1,10a_1_13,1,1,1
10a,2,5,1,10a_5,10a_2,10a_2_5,0,1,0
10a,3,2,1,10a_2,10a_3,10a_2_3,1,0,0
10a,6,20,1,10a_20,10a_6,10a_6_20,0,0,1
10a,7,9,1,10a_9,10a_7,10a_7_9,1,1,1
10a,9,8,1,10a_8,10a_9,10a_8_9,1,1,1
10a,10,11,1,10a_11,10a_10,10a_10_11,0,0,1
10a,14,9,1,10a_9,10a_14,10a_9_14,1,1,1
10a,15,9,1,10a_9,10a_15,10a_9_15,1,1,1
10a,16,12,1,10a_12,10a_16,10a_12_16,1,1,1
10a,17,11,1,10a_11,10a_17,10a_11_17,0,0,1
10a,18,10,1,10a_10,10a_18,10a_10_18,0,0,1
10a,19,18,1,10a_18,10a_19,10a_18_19,0,0,1
10a,20,10,1,10a_10,10a_20,10a_10_20,0,0,1
10a,2,1,0,10a_1,10a_2,10a_1_2,0,1,0
10a,3,1,0,10a_1,10a_3,10a_1_3,1,1,1
10a,4,1,0,10a_1,10a_4,10a_1_4,0,1,0
10a,5,1,0,10a_1,10a_5,10a_1_5,1,1,1
10a,6,1,0,10a_1,10a_6,10a_1_6,0,1,0
10a,7,1,0,10a_1,10a_7,10a_1_7,1,1,1
10a,8,1,0,10a_1,10a_8,10a_1_8,1,1,1
10a,9,1,0,10a_1,10a_9,10a_1_9,1,1,1
10a,10,1,0,10a_1,10a_10,10a_1_10,0,1,0
10a,11,1,0,10a_1,10a_11,10a_1_11,0,1,0
10a,12,1,0,10a_1,10a_12,10a_1_12,1,1,1
10a,13,1,0,10a_1,10a_13,10a_1_13,1,1,1
10a,14,1,0,10a_1,10a_14,10a_1_14,1,1,1
